"نام کالا",نماد,تالار,"تولید کننده","نوع قرارداد","قیمت پایانی میانگین   موزون","ارزش معامله (هزارریال)","پایین ترین",بالاترین,"قیمت پایه عرضه","حجم عرضه",تقاضا,"حجم قرارداد",واحد,"تاریخ معامله","عرضه کننده",کارگزار,"نوع ارز"
"روغن پایه برایت استاک",TIOC-BOBS150B-00,"تالار فرآورده های نفتی","نفت ایرانول تهران","نقدی (مچینگ)","410,000","31,980,000","410,000","410,000","410,000",0,78,78,تن,1401/11/11,"نفت ایرانول","صبا تأمین",ریال
"سیمان تیپ 5/کیسه50",SGHC-CEMENT5-50L-00,"تالار سیمان","صنایع سیمان سامان غرب","نقدی (مچینگ)","6,435","5,630,625","6,435","6,435","6,435",0,875,875,تن,1401/11/11,"صنایع سیمان سامان غرب",ساوآفرین,ریال
"سیمان پرتلند آهکی/کیسه50",UCC-CEMENTPOLI-50L-00,"تالار سیمان","سیمان ارومیه","نقدی (مچینگ)","6,057","605,700","6,057","6,057","6,057",0,100,100,تن,1401/11/11,"سیمان ارومیه","صبا تأمین",ریال
"سیمان مرکب/کیسه50",SCC-CEMENTPM-50L-00,"تالار سیمان","سیمان صوفیان","نقدی (مچینگ)","6,057","1,150,830","6,057","6,057","6,057",0,190,190,تن,1401/11/11,"کارخانجات سیمان صوفیان","صبا تأمین",ریال
"سیمان تیپ2",CICE-CEMENT2B-00,"تالار سیمان","سیمان کیاسر","نقدی (مچینگ)","5,866","6,159,300","5,866","5,866","5,866",0,"1,050","1,050",تن,1401/11/11,"صنایع سیمان کیاسر","بانک سپه",ریال
"سیمان پوزولانی ویژه",KHCE-CEMENTSPB-00,"تالار سیمان","سیمان خاش","نقدی (مچینگ)","5,165","1,342,900","5,165","5,165","5,165",0,260,260,تن,1401/11/11,"سیمان خاش","صبا تأمین",ریال
"سیمان تیپ 325-1/کیسه50",GAC-CEMENT325-50L-00,"تالار سیمان","مجتمع سیمان غرب آسیا","نقدی (مچینگ)","5,937","415,590","5,937","5,937","5,937",0,70,70,تن,1401/11/11,"مجتمع سیمان غرب آسیا",حافظ,ریال
"سیمان تیپ 2/کیسه50",NGC-CEMENT2-50L-00,"تالار سیمان","سیمان خاکستری نی ریز","نقدی (مچینگ)","6,449","2,347,436","6,449","6,449","6,449",0,364,364,تن,1401/11/11,"سیمان خاکستری نی ریز","اندیشه و بینش پیشرو",ریال
"سیمان تیپ 2/کیسه25",SCC-CEMENT2-25L-00,"تالار سیمان","سیمان صوفیان","نقدی (مچینگ)","7,396","369,800","7,396","7,396","7,396",0,50,50,تن,1401/11/11,"کارخانجات سیمان صوفیان","صبا تأمین",ریال
"سیمان تیپ 2/کیسه50",ESTC-CEMENT2-50L-00,"تالار سیمان","سیمان استهبان","نقدی (مچینگ)","6,900","179,400","6,900","6,900","6,900",0,26,26,تن,1401/11/11,"سیمان استهبان",آگاه,ریال
"سیمان تیپ2",ECC-CEMENT2B-00,"تالار سیمان","سیمان شرق","نقدی (مچینگ)","4,657","1,257,390","4,657","4,657","4,657",0,270,270,تن,1401/11/11,"سیمان شرق","آرمون بورس",ریال
"سیمان تیپ 325-1/کیسه50",ECC-CEMENT325-50L-00,"تالار سیمان","سیمان شرق","نقدی (مچینگ)","5,937","6,827,550","5,937","5,937","5,937",0,"1,150","1,150",تن,1401/11/11,"سیمان شرق","آرمون بورس",ریال
"سیمان تیپ 5/کیسه50",BCCO-CEMENT5-50L-00,"تالار سیمان","سیمان بجنورد","نقدی (مچینگ)","6,171","2,036,430","6,171","6,171","6,171",0,330,330,تن,1401/11/11,"سیمان بجنورد","صبا تأمین",ریال
"سیمان تیپ 325-1/کیسه50",SECO-CEMENT325-50L-00,"تالار سیمان","سیمان سپاهان","نقدی (مچینگ)","5,937","1,335,825","5,937","5,937","5,937",0,225,225,تن,1401/11/11,"سیمان سپاهان","آرمون بورس",ریال
"سیمان تیپ 325-1",GAC-CEMENT325B-00,"تالار سیمان","مجتمع سیمان غرب آسیا","نقدی (مچینگ)","4,537","408,330","4,537","4,537","4,537",0,90,90,تن,1401/11/11,"مجتمع سیمان غرب آسیا",حافظ,ریال
"سیمان تیپ2",NGC-CEMENT2B-00,"تالار سیمان","سیمان خاکستری نی ریز","نقدی (مچینگ)","6,735","14,183,910","6,735","6,735","6,735",0,"2,106","2,106",تن,1401/11/11,"سیمان خاکستری نی ریز","اندیشه و بینش پیشرو",ریال
"سیمان تیپ2",SECO-CEMENT2B-00,"تالار سیمان","سیمان سپاهان","نقدی (مچینگ)","6,556","4,589,200","6,556","6,556","6,556",0,700,700,تن,1401/11/11,"سیمان سپاهان","آرمون بورس",ریال
"سیمان تیپ 5/کیسه50",DCCO-CEMENT5-50L-00,"تالار سیمان","سیمان دورود","نقدی (مچینگ)","6,171","308,550","6,171","6,171","6,171",0,50,50,تن,1401/11/11,"سیمان دورود","صبا تأمین",ریال
"سیمان تیپ2",SCC-CEMENT2B-00,"تالار سیمان","سیمان صوفیان","نقدی (مچینگ)","6,584","658,400","6,584","6,584","6,584",0,100,100,تن,1401/11/11,"کارخانجات سیمان صوفیان","صبا تأمین",ریال
"سیمان تیپ 425-1/کیسه50",KCC-CEMENT425-50L-00,"تالار سیمان","سیمان کردستان","نقدی (مچینگ)","6,124","306,200","6,124","6,124","6,124",0,50,50,تن,1401/11/11,"سیمان کردستان","آرمون بورس",ریال
"سیمان مرکب/کیسه50",BCCO-CEMENTPM-50L-00,"تالار سیمان","سیمان بجنورد","نقدی (مچینگ)","6,057","302,850","6,057","6,057","6,057",0,50,50,تن,1401/11/11,"سیمان بجنورد","صبا تأمین",ریال
"سیمان تیپ2",SGHC-CEMENT2B-00,"تالار سیمان","صنایع سیمان سامان غرب","نقدی (مچینگ)","6,029","904,350","6,029","6,029","6,029",0,150,150,تن,1401/11/11,"صنایع سیمان سامان غرب",ساوآفرین,ریال
"سیمان تیپ 425-1",WCO-CEMENT425B-00,"تالار سیمان","سیمان غرب","نقدی (مچینگ)","4,724","2,362,000","4,724","4,724","4,724",0,500,500,تن,1401/11/11,"صنایع سیمان غرب","صبا تأمین",ریال
"سیمان تیپ2",ZATC-CEMENT2B-00,"تالار سیمان","سیمان زاوه تربت","نقدی (مچینگ)","4,657","838,260","4,657","4,657","4,657",0,180,180,تن,1401/11/11,"سیمان زاوه تربت","مبین سرمایه",ریال
"شمش طلا 995",KSJM-GOLD995-089,"تالار طلا","معادن و صنایع معدنی کارند صدر جهان",نقدی,"27,219,653","27,219,653","27,219,653","27,219,653","28,717,343",0.001,0.001,0.001,تن,1401/11/11,"معادن و صنایع معدنی کارند صدر جهان","آینده نگر خوارزمی",ریال
"شمش طلا 995",KSJM-GOLD995-089,"تالار طلا","معادن و صنایع معدنی کارند صدر جهان",نقدی,"27,219,653","27,219,653","27,219,653","27,219,653","28,717,343",0.001,0.001,0.001,تن,1401/11/11,"معادن و صنایع معدنی کارند صدر جهان","آینده نگر خوارزمی",ریال
"شمش طلا 995",KSJM-GOLD995-089,"تالار طلا","معادن و صنایع معدنی کارند صدر جهان",نقدی,"27,219,653","27,219,653","27,219,653","27,219,653","28,717,343",0.001,0.001,0.001,تن,1401/11/11,"معادن و صنایع معدنی کارند صدر جهان","آینده نگر خوارزمی",ریال
"شمش طلا 995",KSJM-GOLD995-089,"تالار طلا","معادن و صنایع معدنی کارند صدر جهان",نقدی,"27,219,653","27,219,653","27,219,653","27,219,653","28,717,343",0.001,0.001,0.001,تن,1401/11/11,"معادن و صنایع معدنی کارند صدر جهان","آینده نگر خوارزمی",ریال
"شمش طلا 995",KSJM-GOLD995-089,"تالار طلا","معادن و صنایع معدنی کارند صدر جهان",نقدی,"27,219,653","27,219,653","27,219,653","27,219,653","28,717,343",0.001,0.001,0.001,تن,1401/11/11,"معادن و صنایع معدنی کارند صدر جهان","آینده نگر خوارزمی",ریال
"شمش طلا 995",KSJM-GOLD995-089,"تالار طلا","معادن و صنایع معدنی کارند صدر جهان",نقدی,"27,219,653","27,219,653","27,219,653","27,219,653","28,717,343",0.001,0.001,0.001,تن,1401/11/11,"معادن و صنایع معدنی کارند صدر جهان","آینده نگر خوارزمی",ریال
"شمش طلا 995",KSJM-GOLD995-089,"تالار طلا","معادن و صنایع معدنی کارند صدر جهان",نقدی,"27,219,653","27,219,653","27,219,653","27,219,653","28,717,343",0.001,0.001,0.001,تن,1401/11/11,"معادن و صنایع معدنی کارند صدر جهان","آینده نگر خوارزمی",ریال
"شمش طلا 995",KSJM-GOLD995-089,"تالار طلا","معادن و صنایع معدنی کارند صدر جهان",نقدی,"27,219,653","27,219,653","27,219,653","27,219,653","28,717,343",0.001,0.001,0.001,تن,1401/11/11,"معادن و صنایع معدنی کارند صدر جهان","آینده نگر خوارزمی",ریال
"شمش طلا 995",KSJM-GOLD995-089,"تالار طلا","معادن و صنایع معدنی کارند صدر جهان",نقدی,"27,219,653","27,219,653","27,219,653","27,219,653","28,717,343",0.001,0.001,0.001,تن,1401/11/11,"معادن و صنایع معدنی کارند صدر جهان","آینده نگر خوارزمی",ریال
"شمش طلا 995",KSJM-GOLD995-089,"تالار طلا","معادن و صنایع معدنی کارند صدر جهان",نقدی,"27,219,653","27,219,653","27,219,653","27,219,653","28,717,343",0.001,0.001,0.001,تن,1401/11/11,"معادن و صنایع معدنی کارند صدر جهان","آینده نگر خوارزمی",ریال
"مس مفتول",OFAC-CR08AB-00,"تالار صنعتی","گروه صنایع کابلسازی افق البرز",نقدی,"3,777,127","37,771,270","3,777,127","3,777,127","3,777,127",110,10,10,تن,1401/11/11,"گروه صنایع کابلسازی افق البرز",دانایان,ریال
"مفتول آلومینیوم9.5",ALRA-AR9.5AA-209,"تالار صنعتی",آلومراد,نسیه,"1,194,867","304,691,085","1,194,867","1,194,867","1,194,867",300,255,255,تن,1401/11/11,"گروه بازرگانی ساتراپ ثقفی","نگاه نوین",ریال
"ورق قلع اندود",TAA-TS11112-00,"تالار صنعتی","صنایع فولاد توان آور آسیا",سلف,"433,000","21,650,000","433,000","433,000","433,000","2,000",50,50,تن,1401/11/11,"صنایع فولاد توان آور آسیا","سی ولکس",ریال
"مس مفتول",CWD-CR08AB-209,"تالار صنعتی","صنایع تولیدی دنیای مس کاشان",نسیه,"3,777,127","94,428,175","3,777,127","3,777,127","3,777,127",300,65,25,تن,1401/11/11,"گروه بازرگانی ساتراپ ثقفی","نگاه نوین",ریال
"مس مفتول",CWD-CR08AB-00,"تالار صنعتی","صنایع تولیدی دنیای مس کاشان",نقدی,"3,777,127","75,542,540","3,777,127","3,777,127","3,777,127",200,130,20,تن,1401/11/11,"دنیای مس کاشان",فارابی,ریال
"وکیوم باتوم",SORC-OAVBB-00,"تالار حراج باز","پالایش نفت شیراز",نقدی,"116,236","813,650,000","116,100","116,500","71,100","7,000","13,100","7,000",تن,1401/11/11,"پالایش نفت شیراز","آرمون بورس",ریال
"شمش طلا 995",KSJM-GOLD995-089,"تالار طلا","معادن و صنایع معدنی کارند صدر جهان",نقدی,,0,,,"28,717,343",0.001,0.001,0,تن,1401/11/11,"معادن و صنایع معدنی کارند صدر جهان","آینده نگر خوارزمی",ریال
"شمش طلا 995",KSJM-GOLD995-089,"تالار طلا","معادن و صنایع معدنی کارند صدر جهان",نقدی,,0,,,"28,717,343",0.001,0.001,0,تن,1401/11/11,"معادن و صنایع معدنی کارند صدر جهان","آینده نگر خوارزمی",ریال
"هیدروکسید آلومینیوم",IALC-ALHYD-00,"تالار صنعتی","آلومینای ایران","نقدی (مچینگ)","182,411","27,361,650","182,411","182,411","182,411",0,150,150,تن,1401/11/11,"آلومینای ایران","بانک صنعت و معدن",ریال
"سولفات سدیم",MAI-SOSULJ-00,"تالار پتروشیمی","معدنی املاح ایران","سلف (مچینگ)","38,841","971,025","38,841","38,841","38,841",0,25,25,تن,1401/11/11,"معدنی املاح ایران","صبا تأمین",ریال
"مس مفتول",CWD-CR08AB-209,"تالار صنعتی","صنایع تولیدی دنیای مس کاشان","نسیه (مچینگ)","3,777,127","509,912,145","3,777,127","3,777,127","3,777,127",0,135,135,تن,1401/11/11,"گروه بازرگانی ساتراپ ثقفی","نگاه نوین",ریال
"سیمان تیپ 2/کیسه50",ECC-CEMENT2-50L-00,"تالار سیمان","سیمان شرق","نقدی (مچینگ)","6,057","605,700","6,057","6,057","6,057",0,100,100,تن,1401/11/11,"سیمان شرق","آرمون بورس",ریال
"مس مفتول",CWD-CR08AB-00,"تالار صنعتی","صنایع تولیدی دنیای مس کاشان","نقدی (مچینگ)","3,777,127","679,882,860","3,777,127","3,777,127","3,777,127",0,180,180,تن,1401/11/11,"دنیای مس کاشان",فارابی,ریال
"سیمان تیپ2",DCC-CEMENT2B-00,"تالار سیمان","سیمان داراب","نقدی (مچینگ)","6,492","3,246,000","6,492","6,492","6,492",0,500,500,تن,1401/11/11,"سیمان داراب","بورس بیمه ایران",ریال
"سیمان تیپ 425-1",ECC-CEMENT425B-00,"تالار سیمان","سیمان شرق","نقدی (مچینگ)","4,724","2,834,400","4,724","4,724","4,724",0,600,600,تن,1401/11/11,"سیمان شرق","آرمون بورس",ریال
"گوگرد کلوخه",SORC-LUSUB-00,"تالار فرآورده های نفتی","پالایش نفت شیراز",نقدی,"28,463","2,846,300","28,463","28,463","28,463",100,100,100,تن,1401/11/11,"پالایش نفت شیراز","آرمون بورس",ریال
"قیر PG6422",PACR-BIPG6422B-00,"تالار فرآورده های نفتی","نفت پاسارگاد اراک",نقدی,"124,500","186,750,000","124,500","124,500","124,500","1,500","1,560","1,500",تن,1401/11/11,"نفت پاسارگاد","صبا تأمین",ریال
"قیر PG7010",PACB-BIPG7010B-00,"تالار فرآورده های نفتی","نفت پاسارگاد بندرعباس",نقدی,"137,500","3,300,000","137,500","137,500","137,500",50,24,24,تن,1401/11/11,"نفت پاسارگاد","صبا تأمین",ریال
"قیر 6070",PACA-BI6070B-00,"تالار فرآورده های نفتی","نفت پاسارگاد آبادان",نقدی,"124,500","12,076,500","124,500","124,500","124,500",200,97,97,تن,1401/11/11,"نفت پاسارگاد","صبا تأمین",ریال
"PDA TAR",TIOC-PDATARB-00,"تالار فرآورده های نفتی","نفت ایرانول تهران",نقدی,"121,793","6,333,236","121,793","121,793","121,793",702,52,52,تن,1401/11/11,"نفت ایرانول","صبا تأمین",ریال
"قیر 6070",PACS-BI6070B-00,"تالار فرآورده های نفتی","نفت پاسارگاد شیراز",نقدی,"130,500","26,100,000","130,500","130,500","130,500",200,200,200,تن,1401/11/11,"نفت پاسارگاد","صبا تأمین",ریال
"قیر PG7610",PACA-BIPG7610B-00,"تالار فرآورده های نفتی","نفت پاسارگاد آبادان",نقدی,,0,,,"124,500",200,0,0,تن,1401/11/11,"نفت پاسارگاد","صبا تأمین",ریال
"قیر MC250",PACA-BIMC250B-00,"تالار فرآورده های نفتی","نفت پاسارگاد آبادان",نقدی,,0,,,"185,000",100,0,0,تن,1401/11/11,"نفت پاسارگاد","صبا تأمین",ریال
"قیر PG7010",PACA-BIPG7010B-00,"تالار فرآورده های نفتی","نفت پاسارگاد آبادان",نقدی,,0,,,"124,500",400,0,0,تن,1401/11/11,"نفت پاسارگاد","صبا تأمین",ریال
"قیر PG6422",PAC-BIPG6422B-00,"تالار فرآورده های نفتی","نفت پاسارگاد تهران",نقدی,,0,,,"128,500","1,500",0,0,تن,1401/11/11,"نفت پاسارگاد","صبا تأمین",ریال
"قیر 6070",DBG-BI6070B-00,"تالار فرآورده های نفتی","پالایش دنا بام گلستان",نقدی,,0,,,"120,500",400,0,0,تن,1401/11/11,"پالایش دنا بام گلستان","بانک سپه",ریال
"ورق گرم B",GFCO-HS30109-00,"تالار صنعتی","مجتمع فولاد گیلان",سلف,"235,338","2,165,112,900","230,499","246,889","186,899","9,200","18,400","9,200",تن,1401/11/11,"مجتمع فولاد گیلان",شهر,ریال
"ورق گالوانیزه G",CHG-GS00101-00,"تالار صنعتی","ورق خودروی چهارمحال و بختیاری",سلف,"399,222","1,197,667,050","398,399","401,899","362,782","3,000","8,550","3,000",تن,1401/11/11,"ورق خودرو چهار محال و بختیاری",باهنر,ریال
"ورق گالوانیزه G",AKSC-GS00101-00,"تالار صنعتی","فولاد امیرکبیر کاشان",سلف,"403,308","1,209,922,600","401,899","404,800","365,587","3,000","6,350","3,000",تن,1401/11/11,"فولاد امیر کبیر کاشان",باهنر,ریال
"ورق گرم B",ARP-HS30109-00,"تالار صنعتی","نورد و لوله اهواز",سلف,"263,460","263,459,650","260,789","263,999","186,899","1,000","5,650","1,000",تن,1401/11/11,"بازرگانی کیانشرق ایران","مبین سرمایه",ریال
"ورق سرد B",MSC-CS21101-00,"تالار صنعتی","فولاد مبارکه اصفهان",سلف,"354,831","5,074,083,900","350,899","357,879","309,175","14,300","16,550","14,300",تن,1401/11/11,"فولاد مبارکه اصفهان",باهنر,ریال
"مس مفتول",NCI-CR08AB-00,"تالار صنعتی","ملی صنایع مس ایران",نقدی,"4,152,003","2,076,001,500","4,126,099","4,168,999","3,777,127",500,"1,080",500,تن,1401/11/11,"ملی صنایع مس ایران","ارگ هومن",ریال
"ورق گالوانیزه G",TSC-GS00101-00,"تالار صنعتی","فولاد تاراز چهارمحال",سلف,"426,562","1,279,687,100","425,519","429,999","363,057","3,000","9,700","3,000",تن,1401/11/11,"فولاد تاراز چهارمحال",باهنر,ریال
"مس مفتول",GRSH-CR08AB-00,"تالار صنعتی","گیل راد شمال",نقدی,,0,,,"3,777,127",675,335,0,تن,1401/11/11,"گیل راد شمال","بانک صنعت و معدن",ریال
"ورق گالوانیزه G",DRG-GS00101-00,"تالار صنعتی","مجتمع نورد گالوانیزه دشتستان راد",سلف,,0,,,"359,515",650,200,0,تن,1401/11/11,"مجتمع نورد گالوانیزه دشتستان راد",آگاه,ریال
"ورق گالوانیزه G",RAK-GS00101-00,"تالار صنعتی","مجتمع فولادي روي اندودکاوه",سلف,,0,,,"359,296","1,800",0,0,تن,1401/11/11,"مجتمع فولادی روی اندود کاوه","مبین سرمایه",ریال
"ورق گالوانیزه G",DSC-GS00101-00,"تالار صنعتی","گروه صنعتی دانیال استیل",سلف,,0,,,"359,296","4,600",0,0,تن,1401/11/11,"فولاد مبین البرز",شهر,ریال
"مس مفتول",ASF-CR08AB-00,"تالار صنعتی","آریا کابل فدک",نقدی,,0,,,"3,777,127",35,0,0,تن,1401/11/11,"آریا کابل فدک","بانک صنعت و معدن",ریال
"مس مفتول",PAGR-CR08AB-00,"تالار صنعتی","گروه صنعتی ابتکار مس پارسیان",نقدی,,0,,,"3,777,127",60,0,0,تن,1401/11/11,"گروه صنعتی ابتکار مس پارسیان","بانک صنعت و معدن",ریال
"مفتول آلومینیوم9.5",SIMC-AR9.5AA-00,"تالار صنعتی","تولیدی سیم و کابل تبریز سیمکات",نقدی,,0,,,"1,194,867",40,0,0,تن,1401/11/11,"تولیدی سیم و کابل تبریز سیمکات","بانک صنعت و معدن",ریال
"مس مفتول",KRCI-CR08AB-00,"تالار صنعتی","صنایع مس کاوه",نقدی,,0,,,"3,777,127",60,0,0,تن,1401/11/11,"صنایع مس کاوه","سی ولکس",ریال
"مس مفتول",GRSH-CR08AB-209,"تالار صنعتی","گیل راد شمال",نسیه,,0,,,"3,777,127",300,0,0,تن,1401/11/11,"گروه بازرگانی ساتراپ ثقفی","نگاه نوین",ریال
"پلی اتیلن ترفتالات بطری BG781",PTC-PETBG781J-00,"تالار پتروشیمی","پتروشیمی تندگویان",سلف,"409,774","414,690,936","406,000","412,619","294,442","1,012","2,112","1,012",تن,1401/11/11,"پتروشیمی شهید تندگویان",پارسیان,ریال
"الکیل بنزن خطی",ICII-LABB-00,"تالار پتروشیمی","سرمایه گذاری صنایع شیمیائی ایران",نقدی,"411,305","205,652,500","411,305","411,305","411,305","1,400",500,500,تن,1401/11/11,"سرمایه گذاری صنایع شیمیایی ایران","بانک صنعت و معدن",ریال
"پلی اتیلن سنگین تزریقی 54B04UV",LOR-HD54B04UVWP-00,"تالار پتروشیمی","پتروشیمی لرستان",نقدی,"267,394","64,174,656","265,799","268,899","255,570",240,384,240,تن,1401/11/11,"پتروشیمی لرستان","سهم آشنا",ریال
"پلی اتیلن ترفتالات نساجی TG641",PTC-PETTG641J-00,"تالار پتروشیمی","پتروشیمی تندگویان",سلف,"317,068","795,206,324","317,000","320,449","293,153","2,508","6,072","2,508",تن,1401/11/11,"پتروشیمی شهید تندگویان","بانک مسکن",ریال
"پلی اتیلن سنگین فیلم EX5",KEPE-HDEX5WP-00,"تالار پتروشیمی","پلیمر کرمانشاه",نقدی,"320,448","161,505,864","318,919","321,999","263,764",504,"2,136",504,تن,1401/11/11,"پلیمر کرمانشاه","بانک صنعت و معدن",ریال
"پلی اتیلن سبک فیلم LFI2119",ASPC-LDLFI2119WP-00,"تالار پتروشیمی","پتروشیمی آریا ساسول",نقدی,"281,631","706,331,648","281,175","282,800","281,169","2,508","2,838","2,508",تن,1401/11/11,"پلیمر آریاساسول","آرمون بورس",ریال
"پلی اتیلن سنگین تزریقی 52518",JPC-HD52518PP-00,"تالار پتروشیمی","پتروشیمی جم",نقدی,"261,749","863,772,712","260,299","265,888","250,179","3,300","4,268","3,300",تن,1401/11/11,"پتروشیمی جم","صبا جهاد",ریال
"پلی اتیلن سنگین اکستروژن EX3",PAM-HDEX3J-00,"تالار پتروشیمی","پتروشیمی امیرکبیر",نقدی,"319,411","958,232,150","318,318","320,899","309,018","3,000","3,460","3,000",تن,1401/11/11,"پتروشیمی امیرکبیر","بانک رفاه کارگران",ریال
"پلی اتیلن سبک خطی 22B02KJ",MAPE-LLD22B02KJP-00,"تالار پتروشیمی","پتروشیمی مهاباد",نقدی,"298,359","35,803,104","297,899","298,999","288,035",120,192,120,تن,1401/11/11,"پتروشیمی مهاباد","توازن بازار",ریال
"پلی اتیلن سبک فیلم 2102TX00",LPC-LD2102TX00RP-00,"تالار پتروشیمی","پتروشیمی لاله",نقدی,"281,169","358,771,644","281,169","281,169","281,169","1,430","1,474","1,276",تن,1401/11/11,"پتروشیمی لاله",مفید,ریال
"پلی اتیلن سنگین بادی BL3",KEPE-HDBL3PP-00,"تالار پتروشیمی","پلیمر کرمانشاه",سلف,"248,198","303,794,352","248,198","248,198","248,198","3,216","1,296","1,224",تن,1401/11/11,"پلیمر کرمانشاه","بانک صنعت و معدن",ریال
"پلی اتیلن سبک فیلم 2426E02",KRD-LD2426E02WP-00,"تالار پتروشیمی","پتروشیمی کردستان",نقدی,"282,516","6,780,384","282,516","282,516","282,516",72,72,24,تن,1401/11/11,"پتروشیمی کردستان","سهم آشنا",ریال
"استایرن بوتادین رابر روشن 1502",IPC-LSBR1502RMP-00,"تالار پتروشیمی","پتروشیمی بندرامام",نقدی,"418,413","236,185,770.24","418,413","418,413","418,413",564.48,564.48,564.48,تن,1401/11/11,"پتروشیمی بندر امام",شهر,ریال
"پلی استایرن انبساطی 422FC",TABC-EPS422FCJ-00,"تالار پتروشیمی","پتروشیمی تبریز",نقدی,"527,839","13,195,980","508,599","555,999","364,750",25,75,25,تن,1401/11/11,"پتروشیمی تبریز","آرمون بورس",ریال
"پلی استایرن انبساطی 221HS",TABC-EPS221HSJ-00,"تالار پتروشیمی","پتروشیمی تبریز",سلف,"502,062","60,247,410","496,900","506,888","366,496",120,360,120,تن,1401/11/11,"پتروشیمی تبریز","آرمون بورس",ریال
"پلی اتیلن سنگین تزریقی 6040UV",LOR-HD6040UVPP-00,"تالار پتروشیمی","پتروشیمی لرستان",نقدی,"269,335","64,640,400","266,999","270,899","255,570",240,312,240,تن,1401/11/11,"پتروشیمی لرستان","سهم آشنا",ریال
"پلی اتیلن سبک فیلم 2420E02",KRD-LD2420E02PP-00,"تالار پتروشیمی","پتروشیمی کردستان",نقدی,"281,169","296,914,464","281,169","281,169","281,169","1,128","1,344","1,056",تن,1401/11/11,"پتروشیمی کردستان","سهم آشنا",ریال
"اکریلونیتریل بوتادین استایرن SV0157W2901",TABC-ABSSV0157W2901PP-00,"تالار پتروشیمی","پتروشیمی تبریز",نقدی,"803,418","44,188,000","800,800","806,999","621,000",55,105,55,تن,1401/11/11,"پتروشیمی تبریز","آرمون بورس",ریال
"پلی اتیلن سنگین فیلم F7000",MEPC-HD7000FWP-00,"تالار پتروشیمی","پتروشیمی مهر",نقدی,"329,877","725,729,972","326,999","332,679","263,764","2,200","5,566","2,200",تن,1401/11/11,"پتروشیمی مهر","بانک دی",ریال
"پلی اتیلن سبک خطی 0209AA",PAM-LLD0209AAWP-00,"تالار پتروشیمی","پتروشیمی امیرکبیر",نقدی,"319,900","802,308,166","318,099","323,889","286,687","2,508","5,588","2,508",تن,1401/11/11,"پتروشیمی امیرکبیر","بانک رفاه کارگران",ریال
"پلی اتیلن سنگین تزریقی 52B18UV",MDC-HD52B18UVPP-00,"تالار پتروشیمی","پتروشیمی میاندوآب",نقدی,"255,570","85,871,520","255,570","255,570","255,570",504,360,336,تن,1401/11/11,"پتروشیمی میاندوآب","سهم آشنا",ریال
"پلی اتیلن سنگین دورانی 3030UA",TABC-HD3030UAPP-00,"تالار پتروشیمی","پتروشیمی تبریز",نقدی,"272,874","9,004,842","272,874","272,874","272,874",33,33,33,تن,1401/11/11,"پتروشیمی تبریز","آرمون بورس",ریال
"اکریلونیتریل بوتادین استایرن 50 - گرید طبیعی",GBPC-ABS50NWP-00,"تالار پتروشیمی","پتروشیمی قائد بصیر",نقدی,"646,998","116,459,630","642,111","655,999","540,000",180,290,180,تن,1401/11/11,"پتروشیمی قائد بصیر","تدبیرگران فردا",ریال
"الکیل بنزن خطی",BISP-LABB-00,"تالار پتروشیمی","پتروشیمی بیستون",نقدی,"411,305","102,826,250","411,305","411,305","411,305","1,400",250,250,تن,1401/11/11,"پتروشیمی بیستون","بانک ملت",ریال
"پلی اتیلن ترفتالات نساجی TG645",PTC-PETTG645J-00,"تالار پتروشیمی","پتروشیمی تندگویان",سلف,"325,320","1,137,968,788","325,000","332,900","287,691","3,498","8,096","3,498",تن,1401/11/11,"پتروشیمی شهید تندگویان","بانک مسکن",ریال
"پلی اتیلن سبک فیلم 2420H",PAM-LD2420HPP-00,"تالار پتروشیمی","پتروشیمی امیرکبیر",نقدی,"282,210","155,215,478","281,999","282,599","281,169",550,792,550,تن,1401/11/11,"پتروشیمی امیرکبیر","بانک رفاه کارگران",ریال
"پلی اتیلن سبک خطی 22B02",MAPE-LLD22B02P-00,"تالار پتروشیمی","پتروشیمی مهاباد",نقدی,"315,710","378,851,640","313,960","316,999","286,687","1,200","2,520","1,200",تن,1401/11/11,"پتروشیمی مهاباد","توازن بازار",ریال
"پلی اتیلن سنگین بادی BL3",MPC-HDBL3PP-00,"تالار پتروشیمی","پتروشیمی مارون",نقدی,"253,127","612,567,252","252,000","254,999","248,198","2,420","2,948","2,420",تن,1401/11/11,"پتروشیمی مارون","آرمون بورس",ریال
"پلی اتیلن ترفتالات نساجی Super Bright TG641",PTC-PETSBTG641J-00,"تالار پتروشیمی","پتروشیمی تندگویان",سلف,"344,127","688,942,364","344,000","344,300","303,817","2,002","4,356","2,002",تن,1401/11/11,"پتروشیمی شهید تندگویان","بانک مسکن",ریال
"پلی استایرن انبساطی 321HS",TABC-EPS321HSJ-00,"تالار پتروشیمی","پتروشیمی تبریز",سلف,"470,483","51,753,180","461,999","476,666","366,496",110,280,110,تن,1401/11/11,"پتروشیمی تبریز","آرمون بورس",ریال
"پلی اتیلن سنگین لوله مشکی CRP100B",SHPC-HDCRP100BPP-00,"تالار پتروشیمی","پتروشیمی شازند",سلف,"380,933","685,679,080","377,000","387,899","332,282","1,800","2,420","1,800",تن,1401/11/11,"پتروشیمی شازند","بانک ملی",ریال
