"نام کالا",نماد,تالار,"تولید کننده","نوع قرارداد","قیمت پایانی میانگین   موزون","ارزش معامله (هزارریال)","پایین ترین",بالاترین,"قیمت پایه عرضه","حجم عرضه",تقاضا,"حجم قرارداد",واحد,"تاریخ معامله","عرضه کننده",کارگزار,"نوع ارز"
"سولفور مولیبدن",NCI-OANMMSC-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"8,328,000","83,280,000","8,328,000","8,328,000","8,328,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"قیر PG6422",JRC-BIPG6422B-00,"تالار فرآورده های نفتی","نفت جی",نقدی,"141,967","81,347,091","141,967","141,967","143,000",700,573,573,تن,1401/12/07,"پالایش نفت جی","خبرگان سهام",ریال
"سولفور مولیبدن",NCI-OANMMSB-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"8,363,000","83,630,000","8,363,000","8,363,000","8,363,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سولفور مولیبدن",NCI-OANMMSB-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"8,405,000","84,050,000","8,405,000","8,405,000","8,405,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"قیر MC250",JRC-BIMC250B-00,"تالار فرآورده های نفتی","نفت جی",نقدی,,0,,,"180,000",100,0,0,تن,1401/12/07,"پالایش نفت جی","خبرگان سهام",ریال
"سولفور مولیبدن",NCI-OANMMSB-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"8,362,000","83,620,000","8,362,000","8,362,000","8,362,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"پلی استایرن معمولی 24N",ESP-PSGPPS24NJ-00,"تالار پتروشیمی","تولیدی پلاستیک ایسین","سلف (مچینگ)","397,202","34,953,776","397,202","397,202","397,202",0,88,88,تن,1401/12/07,"تولیدی پلاستیک ایسین","سرمایه و دانش",ریال
"پلی استایرن معمولی 24N",ESP-PSGPPS24NJ-00,"تالار پتروشیمی","تولیدی پلاستیک ایسین",سلف,"397,202","34,953,776","397,202","397,202","397,202",176,88,88,تن,1401/12/07,"تولیدی پلاستیک ایسین","سرمایه و دانش",ریال
"سولفور مولیبدن",NCI-OANMMSA-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"8,291,000","82,910,000","8,291,000","8,291,000","8,291,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سولفور مولیبدن",NCI-OANMMSA-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"8,219,000","82,190,000","8,219,000","8,219,000","8,219,000",10,20,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سولفور مولیبدن",NCI-OANMMSB-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"8,151,000","81,510,000","8,151,000","8,151,000","8,151,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سولفور مولیبدن",NCI-OANMMSA-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"7,997,000","79,970,000","7,997,000","7,997,000","7,997,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سولفور مولیبدن",NCI-OANMMSA-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"7,897,000","78,970,000","7,897,000","7,897,000","7,897,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سولفور مولیبدن",NCI-OANMMSF-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"7,746,000","77,460,000","7,746,000","7,746,000","7,746,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
"سولفور مولیبدن",NCI-OANMMSA-00,"تالار حراج باز","ملی صنایع مس ایران",نقدی,"7,801,000","78,010,000","7,801,000","7,801,000","7,801,000",10,10,10,تن,1401/12/07,"ملی صنایع مس ایران","ارگ هومن",ریال
